db_index,method,ratio,result,time,error,timeperformance,lam_1,lam_01,lam_001
15,random,0.3,1184.0,12.11,129045.473409,0.269111111111,129045.74252,129045.50032,129045.4761
15,random,0.4,9110.0,12.91,14487.2635506,0.286888888889,14487.5504395,14487.2922395,14487.2664195
15,random,0.5,43387.0,13.96,8734.36250215,0.310222222222,8734.67272437,8734.39352437,8734.36560437
15,random,0.6,155284.0,16.01,12904.8961583,0.355777777778,12905.251936,12904.931736,12904.899716
15,random,0.7,453765.0,18.59,14176.9502725,0.413111111111,14177.3633836,14176.9915836,14176.9544036
15,random,0.8,1152338.0,22.64,21833.3345822,0.503111111111,21833.8376933,21833.3848933,21833.3396133
15,random,0.9,2635613.0,21.85,2770.26235854,0.485555555556,2770.74791409,2770.31091409,2770.26721409
16,random,0.3,1224.0,11.33,44249.6254626,0.2575,44249.8829626,44249.6512126,44249.6280376
16,random,0.4,8931.0,12.81,102321.915173,0.291136363636,102322.20631,102321.944287,102321.918085
16,random,0.5,43070.0,15.04,39901.377902,0.341818181818,39901.7197201,39901.4120838,39901.3813201
16,random,0.6,153875.0,17.27,45514.5460295,0.3925,45514.9385295,45514.5852795,45514.5499545
16,random,0.7,456422.0,19.97,9631.95258944,0.453863636364,9632.40645307,9631.9979758,9631.95712807
16,random,0.8,1154525.0,25.42,19771.7581496,0.577727272727,19772.3358768,19771.8159223,19771.7639268
16,random,0.9,2640325.0,27.65,1278.15737584,0.628409090909,1278.78578493,1278.22021675,1278.16365993
17,random,0.3,1201.0,10.36,51509.0063884,0.287777777778,51509.2941662,51509.0351662,51509.0092662
17,random,0.4,9078.0,11.42,4563.80191963,0.317222222222,4564.11914185,4563.83364185,4563.80509185
17,random,0.5,43695.0,12.5,48219.2301503,0.347222222222,48219.5773725,48219.2648725,48219.2336225
17,random,0.6,154353.0,12.92,19842.2462667,0.358888888889,19842.6051556,19842.2821556,19842.2498556
17,random,0.7,456476.0,15.36,18970.4583307,0.426666666667,18970.8849974,18970.5009974,18970.4625974
17,random,0.8,1158762.0,17.99,9076.43405219,0.499722222222,9076.93377441,9076.48402441,9076.43904941
17,random,0.9,2639900.0,21.37,6519.4923233,0.593611111111,6520.08593441,6519.55168441,6519.49825941
18,random,0.3,1187.0,15.6,150026.390993,0.229411764706,150026.620405,150026.413935,150026.393287
18,random,0.4,9182.0,19.01,23510.9108586,0.279558823529,23511.1904174,23510.9388144,23510.9136541
18,random,0.5,43423.0,22.13,21294.146474,0.325441176471,21294.4719152,21294.1790182,21294.1497285
18,random,0.6,155678.0,27.5,7697.01993685,0.404411764706,7697.42434862,7697.06037803,7697.02398097
18,random,0.7,458110.0,32.58,3802.05798307,0.479117647059,3802.53710071,3802.10589483,3802.06277424
18,random,0.8,1162605.0,43.63,7578.35550851,0.641617647059,7578.99712616,7578.41967027,7578.36192469
18,random,0.9,2653521.0,45.98,15.5474950653,0.676176470588,16.2236715358,15.6151127123,15.55425683
19,random,0.3,1228.0,19.08,41898.7353498,0.298125,41899.0334748,41898.7651623,41898.738331
19,random,0.4,9062.0,22.23,43458.8346547,0.34734375,43459.1819985,43458.8693891,43458.8381282
19,random,0.5,43202.0,26.88,43639.5774813,0.42,43639.9974813,43639.6194813,43639.5816813
19,random,0.6,156275.0,32.99,19262.3356246,0.51546875,19262.8510934,19262.3871715,19262.3407793
19,random,0.7,456069.0,41.84,15155.0386451,0.65375,15155.6923951,15155.1040201,15155.0451826
19,random,0.8,1160198.0,39.46,13289.8760725,0.6165625,13290.492635,13289.9377287,13289.8822381
19,random,0.9,2644795.0,43.13,12460.3200939,0.67390625,12460.9940001,12460.3874845,12460.3268329
20,random,0.3,1187.0,12.34,172480.390993,0.3085,172480.699493,172480.421843,172480.394078
20,random,0.4,9086.0,12.22,57113.2855521,0.3055,57113.5910521,57113.3161021,57113.2886071
20,random,0.5,43405.0,12.36,46035.8919859,0.309,46036.2009859,46035.9228859,46035.8950759
20,random,0.6,155782.0,15.46,26455.0383985,0.3865,26455.4248985,26455.0770485,26455.0422635
20,random,0.7,462249.0,19.82,31438.0628552,0.4955,31438.5583552,31438.1124052,31438.0678102
20,random,0.8,1166500.0,20.27,11496.6855473,0.50675,11497.1922973,11496.7362223,11496.6906148
20,random,0.9,2666653.0,24.47,4979.62785008,0.61175,4980.23960008,4979.68902508,4979.63396758
21,random,0.3,1210.0,11.67,67567.7591423,0.265227272727,67568.0243696,67567.7856651,67567.7617946
21,random,0.4,9129.0,12.28,30588.8850765,0.279090909091,30589.1641674,30588.9129856,30588.8878674
21,random,0.5,43486.0,14.26,35272.0371824,0.324090909091,35272.3612733,35272.0695915,35272.0404233
21,random,0.6,156738.0,16.41,7988.56112706,0.372954545455,7988.9340816,7988.59842251,7988.5648566
21,random,0.7,458623.0,19.43,11974.6374749,0.441590909091,11975.0790658,11974.681634,11974.6418908
21,random,0.8,1172477.0,21.64,17415.8829658,0.491818181818,17416.374784,17415.9321476,17415.887884
21,random,0.9,2660849.0,27.43,6669.44543507,0.623409090909,6670.06884416,6669.50777597,6669.45166916
